city,state,shape,Sight_Date,Sight_Time,Sight_Weekday,Sight_Day,Sight_Month
Solomons Island,MD,Disk,1997-09-22,20:00:00,Monday,22,9
Garden Grove,CA,Rectangle,1997-09-19,00:00:00,Friday,19,9
Houston,TX,Disk,1997-09-15,00:00:00,Monday,15,9
Santa Fe,NM,Light,1997-09-15,20:00:00,Monday,15,9
Kent,WA,Sphere,1997-09-15,20:00:00,Monday,15,9
Angola,IN,Circle,1997-09-15,20:00:00,Monday,15,9
Gulf of Mexico,LA,Cigar,1997-09-07,12:00:00,Sunday,7,9
Albany,ME,Light,1997-09-01,23:00:00,Monday,1,9
Carlsbad,CA,Light,1997-09-01,22:30:00,Monday,1,9
Ophir Mountain,UT,Circle,1997-10-30,00:00:00,Thursday,30,10
Milford,CA,Disk,1997-10-22,15:00:00,Wednesday,22,10
Gig Harbor,WA,Light,1997-10-20,08:45:00,Monday,20,10
Attleboro,MA,Light,1997-10-19,02:00:00,Sunday,19,10
Ignacio,CO,Triangle,1997-10-17,20:00:00,Friday,17,10
Rosburg,WA,Triangle,1997-10-15,20:00:00,Wednesday,15,10
Shark River Hills,NJ,Triangle,1997-10-15,19:00:00,Wednesday,15,10
Daggett,CA,Rectangle,1997-10-15,17:30:00,Wednesday,15,10
New Britain (?),CT,Rectangle,1997-10-15,17:00:00,Wednesday,15,10
Bonaire,GA,Triangle,1997-10-10,20:00:00,Friday,10,10
Mesa,AZ,Sphere,1997-10-10,17:00:00,Friday,10,10
Waco,TX,Light,1997-10-03,21:30:00,Friday,3,10
Ringgold,GA,Circle,1997-10-02,02:00:00,Thursday,2,10
Summerville,SC,Triangle,1997-10-01,22:00:00,Wednesday,1,10
Green Bay,WI,Light,1997-10-01,19:00:00,Wednesday,1,10
Pelzer,SC,Triangle,1997-10-01,19:00:00,Wednesday,1,10
Lake Geneva,WI,Fireball,1997-11-28,19:30:00,Friday,28,11
Plattsmouth,NE,Circle,1997-11-21,12:00:00,Friday,21,11
Chester,NJ,Circle,1997-11-15,23:00:00,Saturday,15,11
Varysburg,NY,Triangle,1997-11-15,21:30:00,Saturday,15,11
El Centro,CA,Oval,1997-11-15,20:00:00,Saturday,15,11
Stevens Pass,WA,Disk,1997-11-14,22:00:00,Friday,14,11
Gig Harbor,WA,Formation,1997-11-14,21:00:00,Friday,14,11
Lynnwood,WA,Oval,1997-11-14,20:00:00,Friday,14,11
Perkinston,MS,Cigar,1997-11-09,21:00:00,Sunday,9,11
Warren,OH,Other,1997-12-31,20:30:00,Wednesday,31,12
Los Angeles (Eagle Rock),CA,Disk,1997-12-25,09:00:00,Thursday,25,12
Ocala,FL,Fireball,1997-12-17,00:15:00,Wednesday,17,12
Iola,IL,Fireball,1997-12-15,22:00:00,Monday,15,12
Oak Hill,WV,Triangle,1997-12-15,18:00:00,Monday,15,12
Fort Ann,NY,Other,1997-12-10,20:00:00,Wednesday,10,12
Paramus (souh of),NJ,Fireball,1997-12-01,23:30:00,Monday,1,12
Greentown,IN,Cigar,1997-12-01,22:00:00,Monday,1,12
Middletown,NJ,Fireball,1998-01-11,06:55:00,Sunday,11,1
Milwaukee/West Allis/West Milwaukee,WI,Changing,1998-01-01,23:00:00,Thursday,1,1
Coxsacke,NY,Light,1998-01-01,20:30:00,Thursday,1,1
Baton Rouge,LA,Circle,1998-01-01,13:00:00,Thursday,1,1
Tallahassee,FL,Triangle,1998-02-26,22:30:00,Thursday,26,2
Four Corners,NM,Other,1998-02-01,00:30:00,Sunday,1,2
Alexandria,LA,Triangle,1998-03-25,23:30:00,Wednesday,25,3
Trout Run,PA,Fireball,1998-03-18,02:00:00,Wednesday,18,3
Roswell,NM,Triangle,1998-03-15,00:00:00,Sunday,15,3
Farina,IL,Fireball,1998-03-15,22:30:00,Sunday,15,3
Los Osos,CA,Sphere,1998-03-15,21:30:00,Sunday,15,3
Gladewater,TX,Triangle,1998-03-15,19:00:00,Sunday,15,3
Frankfort,IN,Triangle,1998-03-14,21:00:00,Saturday,14,3
San Diego,CA,Circle,1998-03-13,21:00:00,Friday,13,3
Malabar,FL,Triangle,1998-03-07,08:00:00,Saturday,7,3
Goleta,CA,Circle,1998-03-05,10:00:00,Thursday,5,3
Houston,TX,Sphere,1998-03-03,20:00:00,Tuesday,3,3
Beal AFB,CA,Disk,1998-03-01,02:30:00,Sunday,1,3
Tulsa,OK,Circle,1998-04-28,22:00:00,Tuesday,28,4
Frisco,CO,Oval,1998-04-25,20:00:00,Saturday,25,4
Muskegon,MI,Other,1998-04-20,21:00:00,Monday,20,4
Fort Gay,WV,Disk,1998-04-16,15:00:00,Thursday,16,4
Hartsgrove,OH,Disk,1998-04-15,20:30:00,Wednesday,15,4
Richmond,CA,Disk,1998-04-15,20:00:00,Wednesday,15,4
Baraboo,WI,Sphere,1998-04-15,08:20:00,Wednesday,15,4
Catawba,OH,Triangle,1998-04-15,07:45:00,Wednesday,15,4
Soquel,CA,Other,1998-04-05,11:50:00,Sunday,5,4
Northern California,CA,Light,1998-04-04,23:00:00,Saturday,4,4
Henry County,OH,Triangle,1998-04-01,21:00:00,Wednesday,1,4
Providence,RI,Circle,1998-04-01,13:00:00,Wednesday,1,4
Salem,OR,Oval,1998-05-30,21:00:00,Saturday,30,5
Fort Myers,FL,Circle,1998-05-20,01:00:00,Wednesday,20,5
Sebastopol,MS,Light,1998-05-15,21:45:00,Friday,15,5
Ft. Campbell,KY,Circle,1998-05-15,07:30:00,Friday,15,5
Nettleton,MS,Light,1998-05-15,07:30:00,Friday,15,5
Pampa,TX,Light,1998-05-12,03:00:00,Tuesday,12,5
Deerfield Beach,FL,Light,1998-05-08,21:40:00,Friday,8,5
Colorado Springs,CO,Other,1998-05-06,20:00:00,Wednesday,6,5
Las Vegas,NV,Triangle,1998-05-03,21:00:00,Sunday,3,5
Gwinn,MI,Triangle,1998-05-01,22:00:00,Friday,1,5
Brooklyn,MI,Oval,1998-06-30,21:30:00,Tuesday,30,6
Alpha,IL,Circle,1998-06-30,13:00:00,Tuesday,30,6
Commerce Township,MI,Changing,1998-06-30,10:00:00,Tuesday,30,6
Port St. Lucie,FL,Disk,1998-06-30,03:00:00,Tuesday,30,6
Quartzite,AZ,Flash,1998-06-30,01:30:00,Tuesday,30,6
Jacksonville,FL,Circle,1998-06-20,03:30:00,Saturday,20,6
Vincennes,IN,Light,1998-06-16,20:46:00,Tuesday,16,6
Vincennes,IN,Light,1998-06-16,08:46:00,Tuesday,16,6
Bellingham,WA,Light,1998-06-15,21:00:00,Monday,15,6
Bensalem,PA,Disk,1998-06-15,21:00:00,Monday,15,6
Beavercreek,OH,Other,1998-06-15,08:23:00,Monday,15,6
Montebello,CA,Light,1998-06-12,22:45:00,Friday,12,6
Mechanicsville,IA,Triangle,1998-06-10,20:00:00,Wednesday,10,6
Elba,NY,Light,1998-06-06,22:00:00,Saturday,6,6
Tampa,FL,Light,1998-06-06,21:30:00,Saturday,6,6
Salinas,CA,Fireball,1998-06-06,19:00:00,Saturday,6,6
Aransas Pass,TX,Circle,1998-06-01,23:00:00,Monday,1,6
Rancho Tehama,CA,Disk,1998-06-01,23:00:00,Monday,1,6
Portland,OR,Triangle,1998-06-01,22:00:00,Monday,1,6
Liberty County (on highway),MT,Other,1998-06-01,22:00:00,Monday,1,6
Valencia,CA,Triangle,1998-06-01,22:00:00,Monday,1,6
Wendover,UT,Triangle,1998-06-01,21:30:00,Monday,1,6
Sulphur,LA,Sphere,1998-06-01,21:00:00,Monday,1,6
New Rochelle,NY,Light,1998-06-01,20:00:00,Monday,1,6
Hunstville,AL,Changing,1998-06-01,18:00:00,Monday,1,6
Colville,WA,Other,1998-06-01,16:30:00,Monday,1,6
West Plains,MO,Triangle,1998-06-01,14:00:00,Monday,1,6
Los Angeles,CA,Disk,1998-06-01,12:30:00,Monday,1,6
Winston-Salem (north of),NC,Circle,1998-06-01,10:30:00,Monday,1,6
Ellensburg,WA,Light,1998-06-01,10:00:00,Monday,1,6
Danville,OH,Disk,1998-06-01,01:00:00,Monday,1,6
Waynesboro,VA,Disk,1998-07-30,22:00:00,Thursday,30,7
Moscow Mills,MO,Cigar,1998-07-25,20:00:00,Saturday,25,7
Sulphur springs,TX,Triangle,1998-07-20,16:00:00,Monday,20,7
Sulphur Springs,TX,Triangle,1998-07-20,16:00:00,Monday,20,7
Scales Mound,IL,Light,1998-07-15,21:30:00,Wednesday,15,7
Sterling,VA,Disk,1998-07-15,19:00:00,Wednesday,15,7
New York City (Brooklyn),NY,Other,1998-07-15,14:00:00,Wednesday,15,7
Columbus,OH,Other,1998-07-15,08:00:00,Wednesday,15,7
Albuquerque,NM,Fireball,1998-07-15,01:30:00,Wednesday,15,7
Minneapolis,MN,Disk,1998-07-15,01:00:00,Wednesday,15,7
Shanadoah,IA,Triangle,1998-07-14,23:00:00,Tuesday,14,7
Arnold,MO,Light,1998-07-10,17:30:00,Friday,10,7
New Rochelle,NY,Cigar,1998-07-10,15:00:00,Friday,10,7
West Bloomfield,MI,Other,1998-07-08,23:00:00,Wednesday,8,7
Hull,GA,Oval,1998-07-07,22:00:00,Tuesday,7,7
Camdenton,MO,Other,1998-07-07,01:00:00,Tuesday,7,7
Manasota Key,FL,Formation,1998-07-05,02:00:00,Sunday,5,7
Akron,OH,Other,1998-07-04,22:00:00,Saturday,4,7
Lockwood,CA,Cigar,1998-07-01,22:00:00,Wednesday,1,7
Rapid City,MI,Sphere,1998-07-01,02:00:00,Wednesday,1,7
Roseville,CA,Circle,1998-07-01,00:00:00,Wednesday,1,7
West Islip,NY,Other,1998-08-28,19:00:00,Friday,28,8
Mobile,AL,Light,1998-08-28,05:45:00,Friday,28,8
Santa Rosa,CA,Disk,1998-08-23,11:45:00,Sunday,23,8
Crestline (Silverwood Lake),CA,Triangle,1998-08-15,23:30:00,Saturday,15,8
Annapolis,MD,Triangle,1998-08-15,23:00:00,Saturday,15,8
Tracy (near; on I-5; close to Gilroy),CA,Circle,1998-08-15,17:00:00,Saturday,15,8
Perryville,MO,Fireball,1998-08-15,11:00:00,Saturday,15,8
Highlands Ranch,CO,Flash,1998-08-15,01:00:00,Saturday,15,8
Burlington,ND,Fireball,1998-08-14,16:00:00,Friday,14,8
Hampton,NH,Circle,1998-08-13,03:00:00,Thursday,13,8
Lake Alpine,CA,Sphere,1998-08-13,02:00:00,Thursday,13,8
Harrisburg,PA,Triangle,1998-08-10,22:00:00,Monday,10,8
Modesto,CA,Triangle,1998-08-10,22:00:00,Monday,10,8
Casa Grande,AZ,Triangle,1998-08-07,00:00:00,Friday,7,8
Casa Grande,AZ,Triangle,1998-08-07,00:00:00,Friday,7,8
Mumford,NY,Circle,1998-08-05,21:00:00,Wednesday,5,8
Chicago,IL,Light,1998-08-01,03:00:00,Saturday,1,8
Binghamton,NY,Sphere,1998-08-01,00:00:00,Saturday,1,8
Dearborn,MI,Other,1998-09-21,21:00:00,Monday,21,9
Tukwila,WA,Sphere,1998-09-20,14:00:00,Sunday,20,9
Fort Bragg,NC,Triangle,1998-09-20,01:15:00,Sunday,20,9
Belen,NM,Light,1998-09-15,23:00:00,Tuesday,15,9
Lubbock,TX,Other,1998-09-15,20:00:00,Tuesday,15,9
Hawkinsville,GA,Disk,1998-09-15,19:00:00,Tuesday,15,9
Manchester,KY,Cigar,1998-09-12,02:00:00,Saturday,12,9
Edinboro (near),PA,Triangle,1998-09-10,22:30:00,Thursday,10,9
San Angelo,TX,Fireball,1998-09-10,20:00:00,Thursday,10,9
Schaumburg,IL,Oval,1998-09-02,21:00:00,Wednesday,2,9
Ft. Myers Beach (off coast of),FL,Triangle,1998-09-01,22:00:00,Tuesday,1,9
Snow Shoe (in general area of),PA,Cigar,1998-09-01,22:00:00,Tuesday,1,9
Nashville,TN,Other,1998-10-29,19:00:00,Thursday,29,10
Detroit,MI,Circle,1998-10-28,10:30:00,Wednesday,28,10
Rupert,ID,Sphere,1998-10-22,03:30:00,Thursday,22,10
Antwerp,OH,Triangle,1998-10-19,22:30:00,Monday,19,10
Bridgewater,SD,Other,1998-10-17,11:30:00,Saturday,17,10
Sacramento,CA,Triangle,1998-10-16,11:40:00,Friday,16,10
Adamsville,AL,Circle,1998-10-15,22:30:00,Thursday,15,10
Enterprise,AL,Triangle,1998-10-15,21:00:00,Thursday,15,10
NYC/Westchester area,NY,Triangle,1998-10-10,20:30:00,Saturday,10,10
Key West,FL,Changing,1998-10-03,01:00:00,Saturday,3,10
Franklin,IN,Triangle,1998-10-01,22:00:00,Thursday,1,10
Clarinda,IA,Triangle,1998-10-01,21:00:00,Thursday,1,10
San Francisco,CA,Sphere,1998-10-01,10:00:00,Thursday,1,10
Chester,SC,Sphere,1998-10-01,07:00:00,Thursday,1,10
Point Pleasant,WV,Sphere,1998-11-24,16:00:00,Tuesday,24,11
Coon Rapids,MN,Oval,1998-11-23,18:05:00,Monday,23,11
Dillsburg,PA,Light,1998-11-20,20:00:00,Friday,20,11
Las Vegas,NM,Light,1998-11-19,02:30:00,Thursday,19,11
Dunns Mills,NJ,Disk,1998-11-18,21:15:00,Wednesday,18,11
Kodiak,AK,Light,1998-11-18,18:00:00,Wednesday,18,11
Darien,WI,Other,1998-11-16,18:00:00,Monday,16,11
Richland Center,WI,Other,1998-11-15,00:00:00,Sunday,15,11
Albuquerque,NM,Oval,1998-11-04,15:30:00,Wednesday,4,11
Skippers,VA,Triangle,1998-11-01,20:30:00,Sunday,1,11
Cape May Court House,NJ,Sphere,1998-12-30,02:00:00,Wednesday,30,12
Vance,SC,Circle,1998-12-25,23:30:00,Friday,25,12
Carmel,CA,Circle,1998-12-25,22:00:00,Friday,25,12
Mansfield,OH,Sphere,1998-12-21,06:30:00,Monday,21,12
West Palm Beach,FL,Triangle,1998-12-20,20:30:00,Sunday,20,12
Kansas (location unspecified),KS,Light,1998-12-19,03:30:00,Saturday,19,12
Fairbanks,AK,Formation,1998-12-15,20:00:00,Tuesday,15,12
Waterford,WI,Rectangle,1998-12-15,00:00:00,Tuesday,15,12
Soddy Daisy,TN,Sphere,1998-12-07,10:00:00,Monday,7,12
Portland,OR,Oval,1999-01-24,20:00:00,Sunday,24,1
Dallas,TX,Circle,1999-01-12,00:00:00,Tuesday,12,1
Estes Park,CO,Circle,1999-01-05,14:00:00,Tuesday,5,1
Madison,WI,Disk,1999-01-02,00:00:00,Saturday,2,1
New Orleans,LA,Light,1999-02-20,20:00:00,Saturday,20,2
Palm Springs,CA,Circle,1999-02-20,19:00:00,Saturday,20,2
Cleveland,GA,Oval,1999-02-20,07:00:00,Saturday,20,2
Sacramento,CA,Other,1999-02-15,18:00:00,Monday,15,2
Southington,CT,Disk,1999-03-30,21:00:00,Tuesday,30,3
Pacific City,OR,Sphere,1999-03-24,20:30:00,Wednesday,24,3
Hikilki,MN,Oval,1999-03-22,03:30:00,Monday,22,3
Galax,VA,Sphere,1999-03-13,05:55:00,Saturday,13,3
Johnstown,PA,Cigar,1999-03-10,02:00:00,Wednesday,10,3
Fyffe,AL,Rectangle,1999-04-15,19:00:00,Thursday,15,4
Boulder City,NV,Other,1999-05-24,19:00:00,Monday,24,5
Marion,OH,Sphere,1999-05-21,16:00:00,Friday,21,5
Panama City Beach,FL,Triangle,1999-05-20,23:00:00,Thursday,20,5
Montrose,IL,Circle,1999-05-20,20:00:00,Thursday,20,5
Jonesboro,IN,Sphere,1999-05-20,18:00:00,Thursday,20,5
Cartwright,ND,Rectangle,1999-05-20,14:00:00,Thursday,20,5
Bakersfield,CA,Circle,1999-05-19,02:00:00,Wednesday,19,5
Ashtabula,OH,Cigar,1999-05-15,12:00:00,Saturday,15,5
Airway Heights (rural; N of Fairchild AFB),WA,Disk,1999-05-15,05:45:00,Saturday,15,5
Dixon,IL,Triangle,1999-05-14,00:00:00,Friday,14,5
Lewisburg,PA,Triangle,1999-05-01,17:00:00,Saturday,1,5
Lexington,SC,Disk,1999-06-30,22:30:00,Wednesday,30,6
Shawnee,KS,Other,1999-06-30,16:30:00,Wednesday,30,6
Corbin/Williamsburg,KY,Light,1999-06-30,01:00:00,Wednesday,30,6
Shingletown,CA,Circle,1999-06-30,00:00:00,Wednesday,30,6
Hiko (outside of ),NV,Sphere,1999-06-21,18:30:00,Monday,21,6
Iron Moutain,MI,Disk,1999-06-17,12:00:00,Thursday,17,6
Jasper,AL,Circle,1999-06-15,23:30:00,Tuesday,15,6
On highway; location unknown,WY,Other,1999-06-15,22:00:00,Tuesday,15,6
Northern Oglala,SD,Flash,1999-06-15,19:00:00,Tuesday,15,6
St. Charles,MO,Rectangle,1999-06-15,12:00:00,Tuesday,15,6
Phoenix,AZ,Disk,1999-06-12,02:30:00,Saturday,12,6
Barksdale AFB,LA,Triangle,1999-06-12,01:00:00,Saturday,12,6
Kansas City (north),MO,Light,1999-06-11,23:00:00,Friday,11,6
Riverton,WY,Triangle,1999-06-10,23:00:00,Thursday,10,6
Davenport,WA,Sphere,1999-06-10,03:00:00,Thursday,10,6
Bristol,TN,Light,1999-06-01,23:00:00,Tuesday,1,6
Franklin,TN,Triangle,1999-06-01,23:00:00,Tuesday,1,6
Corpus Christi,TX,Other,1999-06-01,22:45:00,Tuesday,1,6
Lost Park area,CO,Other,1999-06-01,22:00:00,Tuesday,1,6
Sandusky,OH,Rectangle,1999-06-01,21:00:00,Tuesday,1,6
Spokane,WA,Light,1999-06-01,20:15:00,Tuesday,1,6
Gonzales,CA,Changing,1999-06-01,19:00:00,Tuesday,1,6
Batavia,OH,Light,1999-06-01,19:00:00,Tuesday,1,6
Milford,DE,Fireball,1999-06-01,19:00:00,Tuesday,1,6
Georgetown,IL,Other,1999-06-01,14:00:00,Tuesday,1,6
Bridgeport,CT,Other,1999-06-01,13:00:00,Tuesday,1,6
Tucson,AZ,Other,1999-06-01,12:00:00,Tuesday,1,6
Renton,WA,Disk,1999-06-01,12:00:00,Tuesday,1,6
Lorain,OH,Light,1999-06-01,02:00:00,Tuesday,1,6
Rowland Heights,CA,Light,1999-06-01,02:00:00,Tuesday,1,6
Venice,FL,Disk,1999-06-01,02:00:00,Tuesday,1,6
Gig Harbor,WA,Circle,1999-06-01,01:00:00,Tuesday,1,6
South Jordan,UT,Circle,1999-06-01,01:00:00,Tuesday,1,6
Breckenridge,MN,Disk,1999-06-01,01:00:00,Tuesday,1,6
Fremont,MI,Light,1999-06-01,00:00:00,Tuesday,1,6
Ponca City,OK,Triangle,1999-07-28,22:00:00,Wednesday,28,7
Coalinga,CA,Triangle,1999-07-23,23:45:00,Friday,23,7
Bay Point/ Pittsburg,CA,Other,1999-07-22,20:00:00,Thursday,22,7
Jackson,LA,Other,1999-07-21,18:00:00,Wednesday,21,7
Cherokee Pass,MO,Other,1999-07-15,20:15:00,Thursday,15,7
Oxford,ME,Disk,1999-07-15,19:00:00,Thursday,15,7
Mosier,OR,Light,1999-07-15,01:00:00,Thursday,15,7
Blyville,AR,Other,1999-07-14,17:00:00,Wednesday,14,7
Grand Rapids,MI,Light,1999-07-14,14:00:00,Wednesday,14,7
Bald Eagle Lake,MN,Fireball,1999-07-07,23:00:00,Wednesday,7,7
Seattle,WA,Light,1999-07-07,16:30:00,Wednesday,7,7
Omaha (~ 60 mi. NW of),NE,Triangle,1999-07-06,22:00:00,Tuesday,6,7
Pauls Valley,OK,Sphere,1999-07-04,22:00:00,Sunday,4,7
Luna Pier,MI,Sphere,1999-07-02,14:00:00,Friday,2,7
Chicago,IL,Disk,1999-07-01,09:00:00,Thursday,1,7
San Diego,CA,Circle,1999-08-28,02:00:00,Saturday,28,8
Grapevine,CA,Light,1999-08-26,00:00:00,Thursday,26,8
Ivanhoe,CA,Light,1999-08-25,00:00:00,Wednesday,25,8
Chicago,IL,Other,1999-08-22,11:55:00,Sunday,22,8
Port Huron,MI,Circle,1999-08-17,14:00:00,Tuesday,17,8
Grand Marais,MN,Sphere,1999-08-16,23:00:00,Monday,16,8
Spokane,WA,Light,1999-08-15,23:00:00,Sunday,15,8
Salem,OR,Other,1999-08-15,23:00:00,Sunday,15,8
Hobe Sound,FL,Circle,1999-08-15,21:00:00,Sunday,15,8
Centerville,IA,Circle,1999-08-15,02:30:00,Sunday,15,8
Vancouver,WA,Oval,1999-08-13,23:00:00,Friday,13,8
Casa Grande,AZ,Triangle,1999-08-13,23:00:00,Friday,13,8
New York City (Manhattan),NY,Triangle,1999-08-07,17:00:00,Saturday,7,8
Spokane,WA,Triangle,1999-08-05,01:30:00,Thursday,5,8
San Jose,CA,Disk,1999-08-01,13:00:00,Sunday,1,8
Aberdeen,WA,Triangle,1999-09-30,21:00:00,Thursday,30,9
St. David,IL,Light,1999-09-25,23:30:00,Saturday,25,9
LaCygne,KS,Changing,1999-09-22,01:00:00,Wednesday,22,9
"Boring, Sandy area",OR,Circle,1999-09-17,20:11:00,Friday,17,9
Colorado Springs,CO,Sphere,1999-09-17,09:00:00,Friday,17,9
Hinsdale (unincorporated area),IL,Other,1999-09-17,01:00:00,Friday,17,9
Columbia Falls,MT,Disk,1999-09-15,23:00:00,Wednesday,15,9
Bath,ME,Triangle,1999-09-15,09:00:00,Wednesday,15,9
Florence,MT,Light,1999-09-10,02:00:00,Friday,10,9
Alsea,OR,Light,1999-09-08,20:00:00,Wednesday,8,9
Highland Park,MI,Triangle,1999-09-06,23:45:00,Monday,6,9
Sutton,WV,Disk,1999-09-05,06:30:00,Sunday,5,9
Paola,KS,Cigar,1999-09-01,21:00:00,Wednesday,1,9
Coon Rapids,MN,Triangle,1999-09-01,21:00:00,Wednesday,1,9
Zanesville,OH,Circle,1999-09-01,19:00:00,Wednesday,1,9
Bicknell,IN,Light,1999-09-01,19:00:00,Wednesday,1,9
Junction City,OH,Triangle,1999-09-01,00:00:00,Wednesday,1,9
Nassau,NY,Triangle,1999-10-31,18:45:00,Sunday,31,10
Austin,TX,Oval,1999-10-27,19:30:00,Wednesday,27,10
Chesapeak Bay,MD,Disk,1999-10-26,20:00:00,Tuesday,26,10
Yadkinville,NC,Fireball,1999-10-25,21:00:00,Monday,25,10
White River National Forest,AR,Light,1999-10-20,02:00:00,Wednesday,20,10
Round Rock,TX,Sphere,1999-10-19,22:45:00,Tuesday,19,10
Buffalo,NY,Triangle,1999-10-15,23:00:00,Friday,15,10
Taylor,MI,Sphere,1999-10-15,18:30:00,Friday,15,10
Sierra Vista,AZ,Circle,1999-10-15,18:00:00,Friday,15,10
Lexington,MA,Fireball,1999-10-15,02:00:00,Friday,15,10
Tulsa,OK,Other,1999-10-12,22:15:00,Tuesday,12,10
Jersey,NJ,Disk,1999-10-12,10:30:00,Tuesday,12,10
Miami,OK,Oval,1999-10-12,09:00:00,Tuesday,12,10
Lancaster,CA,Triangle,1999-11-30,00:00:00,Tuesday,30,11
St. Petersburg,FL,Light,1999-11-28,22:00:00,Sunday,28,11
Dubois,PA,Fireball,1999-11-28,00:00:00,Sunday,28,11
Rocky Mount,NC,Cigar,1999-11-24,21:00:00,Wednesday,24,11
Anaheim,CA,Fireball,1999-11-24,10:00:00,Wednesday,24,11
Millwood,KY,Formation,1999-11-16,00:00:00,Tuesday,16,11
Kayenta,AZ,Light,1999-11-16,23:00:00,Tuesday,16,11
Simpsonville,KY,Fireball,1999-11-16,21:30:00,Tuesday,16,11
Nashville,IN,Fireball,1999-11-16,18:00:00,Tuesday,16,11
Henderson,KY,Light,1999-11-10,10:35:00,Wednesday,10,11
San Francisco,CA,Light,1999-11-08,19:00:00,Monday,8,11
San Mateo,CA,Disk,1999-11-05,17:30:00,Friday,5,11
Torrance,CA,Triangle,1999-11-01,20:00:00,Monday,1,11
Ephrata,WA,Triangle,1999-11-01,18:00:00,Monday,1,11
Walker County (not in city),TX,Circle,1999-11-01,15:00:00,Monday,1,11
Las Vegas,NV,Oval,1999-11-01,04:00:00,Monday,1,11
Boaz,AL,Cigar,1999-12-31,01:00:00,Friday,31,12
SC/NC (I-85),SC,Fireball,1999-12-28,22:00:00,Tuesday,28,12
Lake Shasta,CA,Light,1999-12-28,02:00:00,Tuesday,28,12
Fulton,AR,Triangle,1999-12-23,20:30:00,Thursday,23,12
Gibsonville,NC,Sphere,1999-12-16,07:15:00,Thursday,16,12
Colombiana,AL,Rectangle,1999-12-05,04:20:00,Sunday,5,12
Deming,NM,Changing,1999-12-04,02:00:00,Saturday,4,12
Cape Canaveral,FL,Light,2000-01-31,21:00:00,Monday,31,1
Orland,CA,Triangle,2000-01-17,21:40:00,Monday,17,1
West Fargo,ND,Sphere,2000-01-15,22:30:00,Saturday,15,1
Lake Charles,LA,Light,2000-01-15,20:00:00,Saturday,15,1
Scottsdale,AZ,Light,2000-01-04,20:30:00,Tuesday,4,1
Union,MO,Triangle,2000-01-04,03:15:00,Tuesday,4,1
Jacksonville,FL,Rectangle,2000-01-02,00:00:00,Sunday,2,1
Mesa,AZ,Oval,2000-01-02,00:30:00,Sunday,2,1
Patoka,IL,Triangle,2000-01-01,21:00:00,Saturday,1,1
Clovis,CA,Light,2000-01-01,05:00:00,Saturday,1,1
Omaha,NE,Light,2000-01-01,01:00:00,Saturday,1,1
New York City (Brooklyn),NY,Disk,2000-02-26,10:00:00,Saturday,26,2
Billings,MT,Circle,2000-02-23,19:00:00,Wednesday,23,2
Rockford,IL,Fireball,2000-02-16,21:30:00,Wednesday,16,2
Appleton,WI,Formation,2000-02-16,09:35:00,Wednesday,16,2
Hubbard,OR,Rectangle,2000-02-15,23:00:00,Tuesday,15,2
Fairbanks,AK,Light,2000-02-15,22:15:00,Tuesday,15,2
Honolulu,HI,Disk,2000-02-15,12:30:00,Tuesday,15,2
Petrified Forest National Park,AZ,Oval,2000-02-15,04:00:00,Tuesday,15,2
Petrified Forest National Park,AZ,Oval,2000-02-15,04:00:00,Tuesday,15,2
Duluth,GA,Other,2000-02-06,23:00:00,Sunday,6,2
Elk Grove,CA,Other,2000-02-02,01:00:00,Wednesday,2,2
New York City (Bronx),NY,Other,2000-02-01,20:30:00,Tuesday,1,2
Cottage Grove,OR,Triangle,2000-02-01,09:00:00,Tuesday,1,2
Lynn,AL,Triangle,2000-02-01,02:30:00,Tuesday,1,2
Westborough,MA,Triangle,2000-03-31,20:30:00,Friday,31,3
Gilbert,AZ,Circle,2000-03-30,18:52:00,Thursday,30,3
Charleston,SC,Circle,2000-03-13,21:00:00,Monday,13,3
Sedona,AZ,Other,2000-03-12,15:00:00,Sunday,12,3
San Antonio,TX,Circle,2000-03-12,04:00:00,Sunday,12,3
Houston,TX,Disk,2000-03-01,23:00:00,Wednesday,1,3
Sterling,CO,Rectangle,2000-03-01,19:00:00,Wednesday,1,3
Coram,NY,Light,2000-03-01,04:45:00,Wednesday,1,3
Palm Springs (outside of),CA,Triangle,2000-04-27,09:15:00,Thursday,27,4
Aztec (northwest of),NM,Triangle,2000-04-18,12:00:00,Tuesday,18,4
Sedona,AZ,Sphere,2000-04-15,23:00:00,Saturday,15,4
Sunflower,AZ,Triangle,2000-04-10,00:00:00,Monday,10,4
Schuyler County area,IL,Oval,2000-04-09,22:30:00,Sunday,9,4
Springfield (??) (Schuyler County),IL,Oval,2000-04-09,22:30:00,Sunday,9,4
Perris,CA,Circle,2000-04-06,14:00:00,Thursday,6,4
Cortez,CO,Other,2000-04-05,23:00:00,Wednesday,5,4
Del Mar (Rancho Sante Fe),CA,Formation,2000-04-01,19:00:00,Saturday,1,4
Chicago,IL,Sphere,2000-04-01,17:50:00,Saturday,1,4
Schuyler County,IL,Light,2000-05-30,22:07:00,Tuesday,30,5
Victor,NY,Disk,2000-05-25,20:00:00,Thursday,25,5
Benedicta,ME,Sphere,2000-05-20,13:00:00,Saturday,20,5
Wolsey,SD,Fireball,2000-05-15,23:00:00,Monday,15,5
New Rochelle,NY,Circle,2000-05-15,20:00:00,Monday,15,5
Anderson,CA,Cigar,2000-05-15,15:30:00,Monday,15,5
